STK_D_Code,STK_D_SWCode
300300,JSJ
300301,DZ
300302,JSJ
300303,DZ
300304,QC
300305,HG
300306,JXSB
300307,JXSB
300308,DQSB
300309,JXSB
300310,TX
300311,JSJ
300312,TX
300313,NLMY
300314,YYSW
300315,CM
300316,DQSB
300317,DZ
300318,YYSW
300319,DZ
300320,HG
300321,HG
300322,DZ
300323,DZ
300324,JSJ
300325,HG
300326,YYSW
300327,DZ
300328,DZ
300329,QGZZ
300330,JSJ
300331,DZ
300332,GYSY
300333,JSJ
300334,GYSY
300335,GYSY
300336,CM
300337,YSJS
300338,JXSB
300339,JSJ
300340,DZ
300341,DQSB
300342,JYDQ
300343,HG
300344,JZCL
300345,JXSB
300346,DZ
300347,YYSW
300348,JSJ
300349,JXSB
300350,JTYS
300351,JXSB
300352,JSJ
300353,TX
300354,JXSB
300355,JZZS
300356,DQSB
300357,YYSW
300358,YYSW
300359,CM
300360,DQSB
300362,DQSB
300363,YYSW
300364,CM
300365,JSJ
300366,JSJ
300367,JSJ
300368,JSJ
300369,JSJ
300370,CJ
300371,JXSB
300372,DQSB
300373,DZ
300374,JZCL
300375,QC
300376,DQSB
300377,JSJ
300378,JSJ
300379,JSJ
300380,JSJ
300381,YYSW
300382,JXSB
300383,CM
300384,JSJ
300385,JXSB
300386,JSJ
300387,HG
300388,GYSY
300389,DZ
300390,DZ
300391,JXSB
300392,CM
300393,DQSB
300394,DZ
300395,YSJS
300396,YYSW
300397,JXSB
300398,HG
300399,JSJ
300400,JXSB
300401,YYSW
300402,JXSB
300403,JYDQ
300404,YYSW
300405,HG
300406,YYSW
300407,DQSB
300408,DZ
300409,HG
300410,DZ
300411,JXSB
300412,YYSW
300413,SYMY
300414,DQSB
300415,JXSB
300416,JXSB
300417,JXSB
300418,CM
300419,JSJ
300420,JXSB
300421,JXSB
300422,GYSY
300423,DQSB
300424,GFJG
300425,GYSY
300426,CM
300427,DQSB
300428,YSJS
300429,HG
300430,JXSB
300431,CM
300432,QC
300433,DZ
300434,JXSB
300435,JXSB
300436,YYSW
300437,HG
300438,DZ
300439,YYSW
300440,JSJ
300441,JXSB
300442,JXSB
300443,JXSB
300444,DQSB
300445,JXSB
300446,DZ
300447,DQSB
300448,JSJ
300449,JSJ
300450,JXSB
300451,JSJ
300452,YYSW
300453,YYSW
300455,JSJ
300456,GFJG
300457,JXSB
300458,DZ
300459,HG
300460,DZ
300461,JXSB
300462,JSJ
300463,YYSW
300464,JXSB
300465,JSJ
300466,DQSB
300467,TX
300468,JSJ
300469,JSJ
300470,JXSB
300471,JXSB
300472,JXSB
300473,QC
300474,GFJG
300475,JYDQ
300476,DZ
300477,DQSB
300478,HG
300479,JSJ
300480,JXSB
300481,HG
300482,YYSW
300483,JXSB
300484,DQSB
300485,YYSW
300486,JXSB
300487,HG
300488,JXSB
300489,YSJS
300490,DQSB
300491,DQSB
300492,JZZS
300493,DZ
300494,CM
300495,JZZS
300496,JSJ
300497,YYSW
300498,NLMY
300499,JXSB
300500,JZZS
300501,QGZZ
300502,DZ
300503,JXSB
300505,HG
300506,JZZS
300507,QC
300508,JSJ
300509,JXSB
300510,DQSB
300511,NLMY
600000,YH
600004,JTYS
600005,GT
600006,QC
600007,FDC
600008,GYSY
600009,JTYS
600010,GT
600011,GYSY
600012,JTYS
600015,YH
600016,YH
600017,JTYS
600018,JTYS
600019,GT
600020,JTYS
600021,GYSY
600022,GT
600023,GYSY
600026,JTYS
600027,GYSY
600028,HG
600029,JTYS
600030,FYJR
600031,JXSB
600033,JTYS
600035,JTYS
600036,YH
600037,CM
600038,GFJG
600039,JZZS
600048,FDC
600050,TX
600051,ZH
600052,FDC
600053,ZH
600054,XXFW
600055,YYSW
600056,YYSW
600057,JTYS
600058,SYMY
600059,SPYL
600060,JYDQ
600061,HG
600062,YYSW
600063,HG
600064,FDC
600066,QC
600067,FDC
600068,JZZS
600069,QGZZ
600070,FZFZ
600071,DZ
600072,GFJG
600073,SPYL
600074,DZ
600075,HG
600076,TX
600077,JTYS
600078,HG
600079,YYSW
600080,YYSW
600081,QC
600082,SYMY
600083,ZH
600084,SPYL
600085,YYSW
600086,QGZZ
600088,CM
600089,DQSB
600090,SPYL
600091,HG
600093,QC
600094,HG
600095,FDC
600096,HG
600097,NLMY
600098,GYSY
600099,QC
600100,JSJ
600101,GYSY
600103,QGZZ
600104,QC
600105,TX
600106,JTYS
600107,FZFZ
600108,NLMY
600109,FYJR
600110,DQSB
600111,YSJS
600112,DQSB
600113,FDC
600114,YSJS
600115,JTYS
600116,GYSY
600117,GT
600118,GFJG
600119,JTYS
600120,SYMY
600121,CJ
600122,SYMY
600123,CJ
600125,JTYS
600126,GT
600127,NLMY
600128,SYMY
600129,YYSW
600130,TX
600131,GYSY
600132,SPYL
600133,ZH
600135,QGZZ
600136,ZH
600137,FZFZ
600138,XXFW
600139,YSJS
600141,HG
600143,HG
600145,JZCL
600146,YSJS
600148,QC
600149,FDC
600150,GFJG
600151,DQSB
600152,FZFZ
600153,JTYS
600155,HG
600156,FZFZ
600157,CJ
600158,FDC
600159,FDC
600160,HG
600161,YYSW
600162,FDC
600163,QGZZ
600165,JXSB
600166,QC
600167,GYSY
600168,GYSY
600169,JXSB
600170,JZZS
600171,DZ
600172,JXSB
600173,FDC
600175,FDC
600176,HG
600177,FZFZ
600178,QC
600179,CJ
600180,JTYS
600182,HG
600183,DZ
600184,GFJG
600185,FDC
600186,SPYL
600187,GYSY
600188,CJ
600189,NLMY
600190,JTYS
600191,NLMY
600192,DQSB
600193,CJ
600195,NLMY
600196,YYSW
600197,SPYL
600198,TX
600199,SPYL
600200,ZH
600201,NLMY
600202,DQSB
600203,DZ
600206,DZ
600207,ZH
600208,FDC
600209,JZZS
600210,QGZZ
600211,YYSW
600212,ZH
600213,QC
600215,FDC
600216,YYSW
600217,GYSY
600218,JXSB
600219,YSJS
600220,FZFZ
600221,JTYS
600222,YYSW
600223,FDC
600225,FDC
600226,NLMY
600227,HG
600228,HG
600229,HG
600230,HG
600231,GT
600232,FZFZ
600233,FZFZ
600234,ZH
600235,QGZZ
600236,GYSY
600237,DZ
600238,SPYL
600239,FDC
600240,FDC
600241,SYMY
600242,JTYS
600243,JXSB
600246,FDC
600247,SYMY
600248,JZZS
600249,HG
600250,SYMY
600251,HG
600252,YYSW
600255,YSJS
600256,HG
600257,NLMY
600258,XXFW
600259,YSJS
600260,ZH
600261,DZ
600262,JXSB
600265,NLMY
600266,FDC
600267,YYSW
600268,DQSB
600269,JTYS
600270,JTYS
600271,JSJ
600272,FZFZ
600273,HG
600275,ZH
600276,YYSW
600277,ZH
600278,SYMY
600279,JTYS
600280,SYMY
600281,HG
600282,GT
600283,GYSY
600284,JZZS
600285,YYSW
600287,SYMY
600288,DZ
600289,TX
600290,DQSB
600291,FYJR
600292,GYSY
600293,JZCL
600295,CJ
600297,QC
600298,NLMY
600299,HG
600300,SPYL
600301,HG
600302,JXSB
600303,QC
600305,SPYL
600306,SYMY
600307,GT
600308,QGZZ
600309,HG
600310,GYSY
600311,YSJS
600312,DQSB
600313,NLMY
600315,HG
600316,GFJG
600317,JTYS
600318,JZCL
600319,HG
600320,JXSB
600321,JZCL
600322,FDC
600323,GYSY
600325,FDC
600326,JZZS
600327,SYMY
600328,HG
600329,YYSW
600330,YSJS
600331,YSJS
600332,YYSW
600333,GYSY
600335,QC
600336,JYDQ
600337,QGZZ
600338,YSJS
600339,HG
600340,FDC
600343,GFJG
600345,TX
600346,JXSB
600348,CJ
600350,JTYS
600351,YYSW
600352,HG
600353,DQSB
600354,NLMY
600355,TX
600356,QGZZ
600358,XXFW
600359,NLMY
600360,DZ
600361,SYMY
600362,YSJS
600363,DZ
600365,SPYL
600366,YSJS
600367,HG
600368,JTYS
600369,FYJR
600370,FZFZ
600371,NLMY
600372,GFJG
600373,CM
600375,JXSB
600376,FDC
600377,JTYS
600378,HG
600379,DQSB
600380,YYSW
600381,CJ
600382,JXSB
600383,FDC
600385,YYSW
600386,CM
600387,HG
600388,JXSB
600389,HG
600390,YSJS
600391,GFJG
600392,YSJS
600393,FDC
600395,CJ
600396,GYSY
600397,CJ
600398,FZFZ
600399,GT
600400,FZFZ
600401,DQSB
600403,CJ
600405,DQSB
600406,DQSB
600408,CJ
600409,HG
600410,JSJ
600415,SYMY
600416,DQSB
600418,QC
600419,ZH
600420,YYSW
600421,ZH
600422,YYSW
600423,HG
600425,JZCL
600426,HG
600428,JTYS
600429,SPYL
600432,YSJS
600433,QGZZ
600435,GFJG
600436,YYSW
600438,NLMY
600439,QGZZ
600444,HG
600446,JSJ
600448,FZFZ
600449,JZCL
600452,GYSY
600455,JSJ
600456,YSJS
600458,HG
600459,YSJS
600460,DZ
600461,GYSY
600462,QGZZ
600463,FDC
600466,YYSW
600467,NLMY
600468,DQSB
600469,HG
600470,HG
600475,DQSB
600476,JSJ
600477,JZZS
600478,YSJS
600479,YYSW
600480,QC
600481,JXSB
600482,QC
600483,GYSY
600485,TX
600486,HG
600487,TX
600488,YYSW
600489,YSJS
600490,YSJS
600491,JZZS
600493,FZFZ
600495,JXSB
600496,JZZS
600497,YSJS
600498,TX
600499,JXSB
600500,HG
600501,JXSB
600502,JZZS
600503,FDC
600505,GYSY
600506,NLMY
600507,GT
600508,CJ
600509,GYSY
600510,FZFZ
600511,YYSW
600512,JZZS
600513,YYSW
600515,SYMY
600516,YSJS
600517,DQSB
600518,YYSW
600519,SPYL
600520,JXSB
600521,YYSW
600522,TX
600523,QC
600525,DQSB
600526,JXSB
600527,HG
600528,JZZS
600529,YYSW
600530,YYSW
600531,YSJS
600532,CJ
600533,FDC
600535,YYSW
600536,JSJ
600537,DQSB
600538,HG
600539,JZCL
600540,NLMY
600543,SPYL
600545,JZZS
600546,CJ
600547,YSJS
600548,JTYS
600549,YSJS
600550,DQSB
600551,CM
600552,JZCL
600555,FDC
600556,ZH
600557,YYSW
600558,JXSB
600559,SPYL
600560,JXSB
600561,JTYS
600562,GFJG
600563,DZ
600565,FDC
600566,YYSW
600567,QGZZ
600568,FDC
600569,GT
600570,JSJ
600571,JSJ
600572,YYSW
600573,SPYL
600575,JTYS
600576,FDC
600577,JXSB
600578,GYSY
600579,JXSB
600580,DQSB
600581,GT
600582,JXSB
600583,CJ
600584,DZ
600585,JZCL
600586,JZCL
600587,YYSW
600588,JSJ
600589,HG
600590,DQSB
600592,JXSB
600593,XXFW
600594,YYSW
600595,YSJS
600596,HG
600597,SPYL
600598,NLMY
600599,QGZZ
600600,SPYL
600601,JSJ
600602,DZ
600603,ZH
600604,FDC
600605,SYMY
600606,FDC
600608,ZH
600609,QC
600610,JZZS
600611,JTYS
600612,QGZZ
600613,YYSW
600614,ZH
600615,FDC
600616,SPYL
600617,GYSY
600618,HG
600619,JYDQ
600620,FDC
600621,FDC
600622,FDC
600623,HG
600624,ZH
600626,FZFZ
600628,SYMY
600629,JZCL
600630,FZFZ
600633,CM
600634,ZH
600635,FYJR
600636,HG
600637,CM
600638,FDC
600639,FDC
600640,XXFW
600641,FDC
600642,GYSY
600643,FYJR
600644,GYSY
600645,YYSW
600647,FDC
600648,FDC
600649,FDC
600650,JTYS
600651,DZ
600652,CM
600653,QC
600654,JSJ
600655,SYMY
600657,FDC
600658,FDC
600660,QC
600661,CM
600662,JTYS
600663,FDC
600664,YYSW
600665,FDC
600666,YYSW
600667,DZ
600668,JZCL
600671,YYSW
600673,YSJS
600674,GYSY
600675,FDC
600676,JTYS
600677,GFJG
600678,JZCL
600679,QC
600680,JSJ
600681,JZZS
600682,SYMY
600683,FDC
600684,FDC
600685,GFJG
600686,QC
600687,YSJS
600688,HG
600689,FZFZ
600690,JYDQ
600691,HG
600692,JTYS
600693,SYMY
600694,SYMY
600695,NLMY
600696,FDC
600697,SYMY
600698,QC
600699,QC
600701,ZH
600702,SPYL
600703,DZ
600704,SYMY
600705,FYJR
600706,XXFW
600707,DZ
600708,ZH
600710,JXSB
600711,YSJS
600712,SYMY
600713,YYSW
600714,CJ
600715,CM
600716,FDC
600717,JTYS
600718,JSJ
600719,GYSY
600720,JZCL
600721,CJ
600722,HG
600723,SYMY
600724,FDC
600725,HG
600726,GYSY
600727,HG
600728,JSJ
600729,SYMY
600730,ZH
600731,HG
600732,FDC
600733,ZH
600734,FDC
600735,SYMY
600736,FDC
600737,NLMY
600738,SYMY
600739,SYMY
600740,CJ
600741,QC
600742,QC
600743,FDC
600744,GYSY
600745,FDC
600746,HG
600747,FYJR
600748,FDC
600749,XXFW
600750,YYSW
600751,JTYS
600753,FDC
600754,XXFW
600755,SYMY
600756,JSJ
600757,CM
600758,GYSY
600759,CJ
600760,GFJG
600761,JXSB
600763,YYSW
600764,JSJ
600765,JXSB
600766,YSJS
600767,FDC
600768,YSJS
600769,GYSY
600770,ZH
600771,YYSW
600773,FDC
600774,SYMY
600775,TX
600776,TX
600777,FDC
600778,SYMY
600779,SPYL
600780,GYSY
600781,YYSW
600782,GT
600783,FYJR
600784,GT
600785,SYMY
600787,JTYS
600789,YYSW
600790,SYMY
600791,FDC
600792,CJ
600793,QGZZ
600794,JTYS
600795,GYSY
600796,YYSW
600797,JSJ
600798,JTYS
600800,DZ
600801,JZCL
600802,JZCL
600803,HG
600804,CM
600805,QC
600806,JXSB
600807,FDC
600808,GT
600809,SPYL
600810,HG
600811,ZH
600812,YYSW
600814,SYMY
600815,JXSB
600816,FYJR
600817,ZH
600818,ZH
600819,JZCL
600820,JZZS
600821,SYMY
600822,SYMY
600823,FDC
600824,SYMY
600825,CM
600826,SYMY
600827,SYMY
600828,SYMY
600829,YYSW
600830,FYJR
600831,CM
600833,YYSW
600834,JTYS
600835,JXSB
600836,QGZZ
600837,FYJR
600838,SYMY
600839,JYDQ
600841,JXSB
600843,JXSB
600844,HG
600845,JSJ
600846,ZH
600847,DQSB
600848,JXSB
600850,JSJ
600851,ZH
600853,JZZS
600854,JYDQ
600855,JSJ
600856,GYSY
600857,SYMY
600858,SYMY
600859,SYMY
600860,JXSB
600861,SYMY
600862,JXSB
600863,GYSY
600864,GYSY
600865,SYMY
600866,SPYL
600867,YYSW
600868,GYSY
600869,DQSB
600870,JYDQ
600871,CJ
600872,SPYL
600873,SPYL
600874,GYSY
600875,DQSB
600876,JZCL
600877,QC
600879,GFJG
600880,CM
600881,JZCL
600882,CJ
600883,ZH
600884,ZH
600885,DQSB
600886,GYSY
600887,SPYL
600888,YSJS
600889,HG
600890,FDC
600891,SYMY
600892,ZH
600893,GFJG
600894,JXSB
600895,FDC
600896,JTYS
600897,JTYS
600898,SYMY
600900,GYSY
600917,GYSY
600958,FYJR
600959,CM
600960,JXSB
600961,YSJS
600962,NLMY
600963,QGZZ
600965,NLMY
600966,QGZZ
600967,JXSB
600969,GYSY
600970,JZZS
600971,CJ
600973,DQSB
600975,NLMY
600976,YYSW
600978,QGZZ
600979,GYSY
600980,YSJS
600981,SYMY
600982,GYSY
600983,JYDQ
600984,JXSB
600985,HG
600986,JZZS
600987,FZFZ
600988,YSJS
600990,GFJG
600992,JXSB
600993,YYSW
600995,GYSY
600997,CJ
600998,YYSW
600999,FYJR
601000,JTYS
601001,CJ
601002,JXSB
601003,GT
601005,GT
601006,JTYS
601007,XXFW
601008,JTYS
601009,YH
601010,SYMY
601011,CJ
601012,DQSB
601015,CJ
601016,GYSY
601018,JTYS
601020,YSJS
601021,JTYS
601028,JXSB
601038,JXSB
601058,HG
601069,YSJS
601088,CJ
601098,CM
601099,FYJR
601100,JXSB
601101,CJ
601106,JXSB
601107,JTYS
601111,JTYS
601113,HG
601116,SYMY
601117,JZZS
601118,NLMY
601126,DQSB
601137,YSJS
601139,GYSY
601155,FDC
601158,GYSY
601166,YH
601168,YSJS
601169,YH
601177,JXSB
601179,DQSB
601186,JZZS
601188,JTYS
601198,FYJR
601199,GYSY
601208,HG
601211,FYJR
601216,HG
601218,DQSB
601222,DQSB
601225,CJ
601226,JZZS
601231,DZ
601233,HG
601238,QC
601258,QC
601288,YH
601311,QC
601313,JXSB
601318,FYJR
601328,YH
601333,JTYS
601336,FYJR
601339,FZFZ
601368,GYSY
601369,JXSB
601377,FYJR
601388,YSJS
601390,JZZS
601398,YH
601515,QGZZ
601518,JTYS
601519,JSJ
601555,FYJR
601558,DQSB
601566,FZFZ
601567,DQSB
601579,SPYL
601588,FDC
601599,FZFZ
601600,YSJS
601601,FYJR
601607,YYSW
601608,JXSB
601616,DQSB
601618,JZZS
601628,FYJR
601633,QC
601636,JZCL
601666,CJ
601668,JZZS
601669,JZZS
601677,YSJS
601678,HG
601688,FYJR
601689,QC
601699,CJ
601700,DQSB
601717,JXSB
601718,FZFZ
601727,DQSB
601766,JXSB
601777,QC
601788,FYJR
601789,JZZS
601798,JXSB
601799,QC
601800,JZZS
601801,CM
601808,CJ
601818,YH
601857,CJ
601866,JTYS
601872,JTYS
601877,DQSB
601880,JTYS
601886,JZZS
601888,XXFW
601890,GFJG
601898,CJ
601899,YSJS
601900,CM
601901,FYJR
601908,DQSB
601918,CJ
601919,JTYS
601928,CM
601929,CM
601933,SYMY
601939,YH
601958,YSJS
601965,QC
601968,QGZZ
601969,CJ
601985,GYSY
601988,YH
601989,GFJG
601991,GYSY
601992,JZCL
601996,QGZZ
601998,YH
601999,CM
603000,CM
603001,FZFZ
603002,HG
603003,HG
603005,DZ
603006,QC
603008,QGZZ
603009,QC
603010,HG
603011,JXSB
603012,JXSB
603015,DQSB
603017,JZZS
603018,JZZS
603019,JSJ
603020,SPYL
603021,QGZZ
603022,QGZZ
603023,QC
603025,DQSB
603026,HG
603027,SPYL
603028,JXSB
603029,JXSB
603030,JZZS
603066,JTYS
603077,HG
603085,QC
603088,JXSB
603099,XXFW
603100,DQSB
603101,SYMY
603108,YYSW
603111,JXSB
603116,FZFZ
603117,JTYS
603118,TX
603123,SYMY
603126,GYSY
603128,JTYS
603158,QC
603166,QC
603167,JTYS
603168,YYSW
603169,JXSB
603188,HG
603198,SPYL
603199,XXFW
603222,YYSW
603223,JTYS
603227,HG
603268,QGZZ
603288,SPYL
603299,HG
603300,FYJR
603306,QC
603308,JXSB
603309,YYSW
603311,JXSB
603315,JXSB
603318,JXSB
603328,DZ
603333,DQSB
603338,JXSB
603355,JYDQ
603366,JYDQ
603368,YYSW
603369,SPYL
603377,QC
603398,QGZZ
603399,YSJS
603456,YYSW
603508,JSJ
603518,FZFZ
603519,JYDQ
603520,YYSW
603528,QC
603555,FZFZ
603558,FZFZ
603566,NLMY
603567,YYSW
603568,GYSY
603588,GYSY
603589,SPYL
603598,CM
603599,HG
603600,QGZZ
603601,HG
603606,DQSB
603608,FZFZ
603609,NLMY
603611,JXSB
603616,JZCL
603618,DQSB
603636,JSJ
603669,YYSW
603678,DZ
603686,JXSB
603688,YSJS
603696,SPYL
603698,JZZS
603699,JXSB
603701,QC
603703,TX
603718,NLMY
603726,JYDQ
603729,CM
603766,QC
603778,JZZS
603779,SPYL
603788,QC
603789,JXSB
603798,HG
603799,YSJS
603800,JXSB
603806,DQSB
603808,FZFZ
603818,QGZZ
603822,HG
603828,JZZS
603838,QGZZ
603861,DQSB
603866,SPYL
603868,JYDQ
603869,XXFW
603883,YYSW
603885,JTYS
603889,FZFZ
603898,QGZZ
603899,QGZZ
603901,JXSB
603918,JSJ
603919,SPYL
603936,DZ
603939,YYSW
603968,HG
603969,JXSB
603979,CJ
603988,DQSB
603989,DZ
603993,YSJS
603996,JYDQ
603997,QC
603998,YYSW
603999,CM
